company_name,business_description
"Deep Field Technologies, Inc.","Deep Field Technologies, Inc. engages in painting and repairing automobiles, and the sale of automotive parts, accessories, and supplies in the People’s Republic of China. It also operates as an auto insurance agent. As of December 31, 2006, Deep Field operated 12 automotive repair centers in Beijing. The company was founded in 2005 and is based in Fort Myers, Florida."
"Dewmar International BMC, Inc.","Dewmar International BMC, Inc. operates as a brand management services company in the United States and internationally. The company specializes in developing or acquiring new products, brands, or companies for launch or distribution in various markets. It manages multiple brands and services, including consumer good categories, and health and wellness industry verticals, as well as offers outsourced sales and marketing services. The company also provides yella, purp, and easta pink flavored relaxation beverage products under the brand name of Lean Slow Motion Potion. Dewmar International BMC, Inc. is headquartered in Clinton, Mississippi."
"Direct Digital Holdings, Inc.","Direct Digital Holdings, Inc. operates as an end-to-end full-service programmatic advertising platform. The company’s platform primarily focuses on providing advertising technology, data-driven campaign optimization, and other solutions to underserved and less efficient markets on both the buy- and sell-side of the digital advertising ecosystem. Direct Digital Holdings, Inc. serves various industry verticals, such as travel, education, healthcare, financial services, consumer products, and other sectors with a focus on small and mid-sized businesses. The company was founded in 2018 and is headquartered in Houston, Texas."
E Automotive Inc.,"E Automotive Inc. engages in the provision of a wholesale auction marketplace, and engages in developing, marketing, and distributing digital retailing software supporting the automotive industry in Canada and the United States. The company operates its digital wholesale marketplace platforms under EBlock and EDealer brands, which helps the dealers to provide online wholesale vehicle auctions where buyers connect with sellers, to track vehicle inventory and make inventory available in their digital showroom, on their website, and through other third-party consumer-facing online properties, as well as assists dealers with lead management and other consumer-facing activities. It also develops, markets, and distributes digital retailing solutions for the automotive industry, as well as provides inventory merchandising and marketing software. The company was formerly known as eSquared Holdings Inc. and changed its name to E Automotive Inc. in December 2019. E Automotive Inc. was incorporated in 2017 and is headquartered in Toronto, Canada."
"EcoPlus, Inc.","EcoPlus, Inc. provides a solution for managing fats, oils, and grease (FOG) from food service establishments and food processors. Its process technology converts sticky fats, oils, and grease along with incorporated food matter into a solid, granular material that is used as a soil amending agent in agricultural applications. The company’s technology is used in combined energy and waste heat plants, conventional steam plants, and cement plants. It markets primarily to cities, counties, and wastewater agencies who have issues with excessive FOG uptake into their wastewater operations. The company was founded in 2004 and is based in Huntersville, North Carolina."
Eddy Smart Home Solutions Ltd.,"Eddy Smart Home Solutions Ltd. provides residential and commercial smart water metering products and monitoring services in the United States and Canada. It operates through Multi-Family Residences, Single family Residence, and Customer and Industrial Segments. It helps property owners to protect, control, and conserve water usage by combining water sensing devices with behavioral learning software. The company offers suite of products, such as Eddy IQ that provides automatic meter reading, remote valve shutdown, and machine learning to measure flow, detect leaks, and bill customers for water consumption; Eddy H2O sensors monitor for the presence of water and built-in temperature and humidity sensor; Eddy Valve to protect buildings from water damage; Eddy Link, real-time, digital communication and analytics, measuring minute by minute water usage and identifying leaks and water issues; and Eddy Gateway which provides robust LoraWAN communication backbone for the property to transmit data to the cloud applications and monitoring station. It offers multi-unit residentials, construction, commercial, and submetering solutions. Eddy Smart Home Solutions Ltd. is headquartered in Toronto, Canada."
"Electronic Servitor Publication Network, Inc.","Electronic Servitor Publication Network, Inc., a digital engagement company, provides digital activation and engagement solutions to companies that seek to optimize their digital customer engagement strategies. Its managed services are powered by tech stack - the Digital Engagement Engine, which provides interaction management, content provisioning, and a workflow. The company was formerly known as CannAssist International Corp. and changed its name to Electronic Servitor Publication Network, Inc. in September 2021. The company was incorporated in 2017 and is based in Stillwater, Minnesota."
"Emerald Holding, Inc.","Emerald Holding, Inc. operates business-to-business (B2B) trade shows in the United States. The company provides B2B trade show franchises; and B2B print publications and digital media products, which provide industry specific business news and information across various sectors. It also offers B2B e-commerce and digital merchandising solutions to manufacturers and retailers through Elastic Suite and Bulletin platforms. The company serves retail, design, technology, equipment, and safety and security. Emerald Holding, Inc. was incorporated in 2013 and is headquartered in New York, New York."
Encompass Compliance Corporation,"Encompass Compliance Corporation provides workplace drug, alcohol, and marijuana compliance services. It offers policies, procedures, and training for supervisors and employees to manage their programs; and State compliance kits, ADA issues, employers guide to medical marijuana, marijuana statutes, issues charts, mandatory State regulations, mandatory State statutes, Federal issues DOT, Native American issues, and checklists. The company also provides State workplace drug and alcohol testing rules; program development, management, and update compliance services; training; and policy development wizard services. In addition, it provides claim defense services for safety, risk, and legal teams, as well as information and content that supports the human resource and drug compliance program managers. Encompass Compliance Corporation was formerly known as Axxess Unlimited, Inc. and changed its name to Encompass Compliance Corp. in June 2015. The company is based in Cornelius, North Carolina."
"Environmental Service Professionals, Inc.","Environmental Service Professionals, Inc., through its subsidiaries, provides environmental consulting services for addressing mold and moisture intrusion and the associated acute or chronic issues that impact the interior air quality of commercial and residential buildings. The company offers Certified Environmental Home Inspector (CEHI) program, a training, certification, inspection, and results reporting analysis program that provides moisture and toxin inspection, as well as energy use awareness to residential and commercial clients. It also provides cross-training on CEHI programs for insurance companies, underwriters, and loss control and risk management personnel. Environmental Service Professionals, Inc. was formerly known as Pacific Environmental Sampling, Inc. and changed its name to Environmental Service Professionals, Inc. in October 2006. The company was incorporated in 1992 and is based in Palm Springs, California."
"Evergreen Sustainable Enterprises, Inc.","Evergreen Sustainable Enterprises, Inc. operates green energy asset company with operations in the Bitcoin mining industries. it also owns and leases real estate to companies needing seed storage facilities located within the greater Denver area. The company was formerly known as Generation Hemp, Inc and changed its name to Evergreen Sustainable Enterprises, Inc. in March 2023. Evergreen Sustainable Enterprises, Inc. is based in Dallas, Texas."
"EVERTEC, Inc.","EVERTEC, Inc. engages in transaction processing business and financial technology in Latin America and the Caribbean. The company operates through four segments: Payment Services - Puerto Rico & Caribbean; Latin America Payments and Solutions; Merchant Acquiring; and Business Solutions. It provides merchant acquiring services, which enable point of sales and e-commerce merchants to accept and process electronic methods of payment, such as debit, credit, prepaid, and electronic benefit transfer (EBT) cards. In addition, the company offers payment processing services that enable financial institutions and other issuers to manage, support, and facilitate the processing for credit, debit, prepaid, automated teller machines, and EBT card programs; credit and debit card processing, authorization and settlement, and fraud monitoring and control services to debit or credit issuers services. Further, it provides business process management solutions comprising core bank processing, network hosting and management, IT professional, business process outsourcing, item and cash processing, and fulfillment solutions to merchant, fintech, financial institutions, and corporate and government customers. Additionally, the company owns and operates the ATH network, a personal identification number debit networks. It manages a system of electronic payment networks that process approximately six billion transactions. The company sells and distributes its services primarily through direct sales force. It serves financial institutions, merchants, corporations, and government agencies. EVERTEC, Inc. was founded in 1988 and is headquartered in San Juan, Puerto Rico."
"Exela Technologies, Inc.","Exela Technologies, Inc. provides transaction processing solutions, enterprise information management, document management, and digital business process services worldwide. It operates in three segments: Information & Transaction Processing Solutions (ITPS), Healthcare Solutions (HS), and Legal & Loss Prevention Services (LLPS). The ITPS segment provides lending solutions for mortgages and auto loans; banking solutions for clearing, anti-money laundering, sanctions, and interbank cross-border settlement; property and casualty insurance solutions for origination, enrollments, claims processing, and benefits administration communications; and public sector solutions for income tax processing, benefits administration, and records management. It also offers solutions for payment processing and reconciliation, integrated receivable and payables management, document logistics and location services, records management, and electronic storage of data and documents; and software, hardware, professional, and maintenance services related to information and transaction processing automation. Its HS segment provides revenue cycle solutions, integrated accounts payable and accounts receivable, and information management; claims processing, and claims adjudication and auditing services; enrollment processing and policy management services; scheduling and prescription management services; and medical coding and insurance claim generation, underpayment audit and recovery, and medical records management services. The LLPS segment processes legal claims for class action and mass action settlement administrations, involving project management support, notification, and outreach to claimants; and collects, analyzes, and distributes settlement funds. It also offers data and analytical services in the areas of litigation consulting, economic and statistical analysis, expert witness services, and revenue recovery services for delinquent accounts receivable. The company was incorporated in 2014 and is headquartered in Irving, Texas."
"ExlService Holdings, Inc.","ExlService Holdings, Inc. operates as a data analytics, and digital operations and solutions company in the United States and internationally. The company operates through Insurance, Healthcare, Analytics, and Emerging Business segments. It also provides digital operations and solutions and analytics-driven services, such as claims processing, premium and benefit administration, agency management, account reconciliation, policy research, underwriting support, new business acquisition, policy servicing, premium audit, surveys, billing and collection, commercial and residential survey, and customer service using digital technology, artificial intelligence, machine learning, and advanced automation; digital customer acquisition services using a software-as-a-service delivery model through LifePRO and LISS platforms; subrogation services; and Subrosource software platform, an end-to-end subrogation platform. In addition, the company offers health care services related to care management, utilization management, disease management, payment integrity, revenue optimization, and customer engagement. Further, it provides financial planning and analysis, management reporting, forecasting and decision support, data management, regulatory reporting and risk, and compliance services; reservations, customer, and fulfilment services; freight billing, collections, claims management, freight audit, freight scheduling, supply chain management, and revenue assurance services; residential mortgage lending, title verification and validation, retail banking and credit cards, trust verification, commercial banking, and investment management; merchandising, pricing, and demand forecasting; and digital operations and solutions. The company offers predictive and prescriptive analytics in the areas of customer acquisition and lifecycle management. ExlService Holdings, Inc. was founded in 1999 and is headquartered in New York, New York."
"Exponent, Inc.","Exponent, Inc., together with its subsidiaries, operates as a science and engineering consulting company in the United States and internationally. The company operates in two segments, Engineering and Other Scientific, and Environmental and Health. The Engineering and Other Scientific segment provides services in the areas of biomechanics, biomedical engineering and sciences, buildings and structures, civil engineering, construction consulting, data sciences, electrical engineering and computer science, human factors, materials and corrosion engineering, mechanical engineering, polymer science and materials chemistry, thermal sciences, and vehicle engineering. The Environmental and Health segment offers services in the areas of chemical regulation and food safety, ecological and biological sciences, environmental and earth sciences, and health sciences. The company offers approximately 90 technical disciplines to solve pressing and complicated challenges facing stakeholders. It serves clients in chemical, construction, consumer products, energy, food, beverage and nutrition, government, life sciences, insurance, manufacturing, technology, industrial equipment, transportation, and other sectors of the economy. The company was formerly known as The Failure Group, Inc. and changed its name to Exponent, Inc. in 1998. The company was founded in 1967 and is headquartered in Menlo Park, California."
"Fidelity National Information Services, Inc.","Fidelity National Information Services, Inc. engages in the provision of financial services technology solutions for financial institutions, businesses, and developers worldwide. It operates through Banking Solutions, Capital Market Solutions, and Corporate and Other segments. The company provides core processing and ancillary applications; mobile and online banking; fraud, risk management, and compliance; card and retail payment; electronic funds transfer and network; wealth and retirement; and item processing and output solutions. It also offers trading and asset, lending, leveraged and syndicated loan markets, and treasury and risk solutions. The company was founded in 1968 and is headquartered in Jacksonville, Florida."
Fintech Select Ltd.,"Fintech Select Ltd. provides financial payment services in Canada. It operates through three segments: Distribution, Call Centers, and Financial Services. The company offers MasterCard and Visa prepaid card programs that serves a point of sale (POS) footprint, which allows consumers to activate, fund, and reload their cards for various corporate and government organizations. The company also provides Twifty, an online and e-wallet payment solution that offers e-commerce processing, corporate disbursements, and remittances, as well as online payment processing services; and call-center as a service. In addition, it provides a POS cryptocurrency solution for buying and selling cryptocurrencies; sells prepaid wireless airtime; e-wallets; and prepaid debit card services. The company was formerly known as Selectcore Ltd. and changed its name to Fintech Select Ltd. in August 2017. Fintech Select Ltd. was founded in 1999 and is based in Chatham, Canada."
Fintechwerx International Software Services Inc.,"Fintechwerx International Software Services Inc. operates as an e-commerce technology company in Canada. The company offers FintechWerx platform, a collection of licensed software, including the EMT services, enrollment services, and gateway services, combined with a proprietary data model that provides enrollment services, identify verification services, automated reconciliation for email money transfers, payment gateway services, and data management services. It serves small to medium sized enterprises, as well as cannabis and cannabidiol, online gaming, healthcare and nutraceuticals, and fashion and beauty industries. Fintechwerx International Software Services Inc. was incorporated in 2022 and is headquartered in Vancouver, Canada."
First Advantage Corporation,"First Advantage Corporation provides employment background screening, identity, and verification solutions worldwide. It offers pre-onboarding products and solutions, such as criminal background checks, drug/health screening, extended workforce screening, FBI channeling, identity checks and biometric fraud mitigation tools, education/work history verification, driver records and compliance, healthcare credentials, executive screening, and other screening products. The company also provides post-onboarding solutions, including criminal records monitoring, healthcare sanctions, motor vehicle records, social media screening, and global sanctions and licenses; and other products comprising fleet/vehicle compliance, hiring tax credits and incentives, resident/tenant screening, and investigative research. Its products and solutions are used by personnel in recruiting, human resources, risk, compliance, vendor management, safety, and/or security in global enterprises, mid-sized, and small companies. The company was formerly known as Fastball Intermediate, Inc. and changed its name to First Advantage Corporation in March 2021. First Advantage Corporation was founded in 2002 and is based in Atlanta, Georgia."
"Fiserv, Inc.","Fiserv, Inc., together with its subsidiaries, provides payments and financial services technology services in the United States, Europe, the Middle East and Africa, Latin America, the Asia-Pacific, and internationally. It operates through Merchant Acceptance, Financial Technology, and Payments and Network segments. The Merchant Acceptance segment provides merchant acquiring and digital commerce services; mobile payment services; security and fraud protection products; Clover, a cloud based POS and integrated commerce operating system for small and mid-sized businesses and independent software vendors; and Carat, an integrated operating system for large businesses. This segment distributes through various channels, including direct sales teams, strategic partnerships with agent sales forces, independent software vendors, financial institutions, and other strategic partners in the form of joint venture alliances, revenue sharing alliances, and referral agreement. The Financial Technology segment offers customer deposit and loan accounts, as well as manages an institution’s general ledger and central information files. This segment also provides digital banking, financial and risk management, professional services and consulting, check processing, and other products and services. The Payments and Network segment offers card transactions, such as debit, credit, and prepaid card processing and services; funds access, debit payments, cardless ATM access, and surcharge-free ATM network; security and fraud protection products; card production; print services; and various network services, as well as non-card digital payment software and services, including bill payment, account-to-account transfers, person-to-person payments, electronic billing, and security and fraud protection products. It serves merchants, banks, credit unions, other financial institutions, and corporate clients. Fiserv, Inc. was incorporated in 1984 and is headquartered in Milwaukee, Wisconsin."
"Fluent, Inc.","Fluent, Inc. provides data-driven digital marketing services in the United States and internationally. The company operates through Fluent and All Other segments. It offers customer acquisition services by operating digital marketing campaigns, through which the company connects its advertiser clients with consumers. The company also delivers data and performance-based marketing executions to various consumer brands, direct marketers, and agencies across a range of industries, including financial products and services, media and entertainment, health and life sciences, retail and consumer, and staffing and recruitment. Fluent, Inc. was founded in 2010 and is headquartered in New York, New York."
Flywire Corporation,"Flywire Corporation, together with its subsidiaries, operates as a payments enablement and software company in the United States and internationally. Its payment platform and network, and vertical-specific software help clients to get paid and help their customers to pay. The company’s platform facilitates payment flows across multiple currencies, payment types, and payment options, as well as provides direct connections to alternative payment methods, such as Alipay, Boleto, PayPal/Venmo, and Trustly. It serves education, healthcare, travel, and business to business organizations. The company was formerly known as peerTransfer Corporation and changed its name to Flywire Corporation in December 2016. Flywire Corporation was incorporated in 2009 and is headquartered in Boston, Massachusetts."
"Fomo Worldwide, Inc.","Fomo Worldwide, Inc., through its subsidiaries, markets and sells disinfection products and services to individuals, hotels, hospitals, cruise ships, offices, and government facilities. It also provides hybrid disinfection devices with UVC and photo plasma devices. In addition, the company offers ultraviolet-C in-duct and portable devices, carbon filtration, and HEPA filtration devices, as well as bio-polar ionization disinfection for virus and volatile organic compound disinfection services. Further, the company provides personal protective equipment ranging from masks to gloves with factory-direct supply side logistics, as well as energy efficiency consulting and sustainability solutions. The company is based in Pittsburgh, Pennsylvania."
FRNT Financial Inc.,"FRNT Financial Inc., a financial technology company, provides a capital markets trading platform for institutional investors to access alternative trading opportunities in Canada, the Cayman Islands, and the United States. The company offers capital markets services comprising OTC spot and derivatives, and treasury management; and advisory services consisting of merchant banking, asset management, consulting, market data, and FTX claims services. It also provides technology licensing around deliverable services; and research licensing services. In addition, it solicits asset managers to sub-advice funds on its behalf. FRNT Financial Inc. was incorporated in 2018 and is headquartered in Toronto, Canada."
"FTI Consulting, Inc.","FTI Consulting, Inc. provides business advisory services to manage change, mitigate risk, and resolve disputes worldwide. The company operates through Corporate Finance & Restructuring, Forensic and Litigation Consulting, Economic Consulting, Technology, and Strategic Communications segments. The Corporate Finance & Restructuring segment provides business transformation and strategy, transactions, and turnaround and restructuring services. The Forensic and Litigation Consulting segment offers construction and environmental solutions, data and analytics, disputes, health solutions, and risk and investigation services. The Economic Consulting segment provides antitrust and competition economics, financial economics, and international arbitration services. The Technology segment offers corporate legal department consulting; e-discovery and expertise; and information governance, privacy, and security services. The Strategic Communications segment provides corporate reputation, financial communications, and public affairs services. It serves aerospace and defense, airlines and aviation, blockchain and digital assets, chemicals, construction and environmental solutions, energy, financial services, food and agriculture, healthcare and life sciences, hospitality, gaming and leisure, automotive and industrial, insurance, mining, private equity, power and renewable, public sector and government contracts, real estate, retail and consumer products, telecom, media and technology, and transportation and logistics sectors. FTI Consulting, Inc. was incorporated in 1982 and is headquartered in Washington, the District of Columbia."
"Fuego Enterprises, Inc.","Fuego Enterprises, Inc., a holding company, engages in the travel and hospitality, media and entertainment, consumer products and promotional goods, data analytics, and e-commerce businesses. It offers various travel programs to Cuba as a full-service agency, as well as manages hospitality properties and real estate. The company also provides print and digital magazines and operates online news portal through OnCubaNews.com, OnCuba Travel Magazine, and Art OnCuba Magazine; and produces and distributes consumer products, including handcrafted souvenirs, destination-unique promotional products, and made-to-order goods. In addition, it offers data analytics, including data mining, predictive analytics, and text mining; and operates online marketplace and community for the sale of Cuban-made and Cuban-themed products. The company was formerly known as Cuba Business Development Group, Inc. and changed its name to Fuego Enterprises, Inc. in October 2012. The company was founded in 2004 and is based in Miami, Florida."
GD Culture Group Limited,"GD Culture Group Limited, together with its subsidiaries, engages in virtual content production business. It is also involved in ai-driven digital human creation and customization; live streaming and e-commerce; and live streaming interactive game. The company was formerly known as Code Chain New Continent Limited and changed its name to GD Culture Group Limited in January 2023. GD Culture Group Limited is based in New York, New York."
Genuine Marketing Group Inc.,"Genuine Marketing Group Inc., doing business as GMG, operates as a retail and consumer focused marketing company that creates brand affinity and builds consumer confidence through its authentication system, ZPtag. The company was incorporated in 2020 and is based in Eden Prairie, Minnesota."
"Geopulse Exploration, Inc.","Geopulse Exploration, Inc. develops blockchain-powered logistics, financial services, and promotion platform for United States and Canadian cannabis sector. The company has a strategic development partnership with NetCents Technology Inc. The company was founded in 2004 and is based in Los Angeles, California."
"Getty Images Holdings, Inc.","Getty Images Holdings, Inc. offers creative and editorial visual content solutions in the Americas, Europe, the Middle East, Africa, and Asia-Pacific. Its products include Getty Images that offers creative and editorial content including stills, music and video which focuses on corporate, agency, and media customers; iStock.com, an e-commerce offering where customers have access to creative stills and video; Unsplash.com, a platform offering free stock photo downloads and paid subscriptions targeted to the high-growth prosumer and semi-professional creator segments; and Unsplash+ that provides access to unique model released content with expanded legal protections. In addition, it maintains privately-owned photographic archives covering news, sport, and entertainment, as well as variety of subjects, including lifestyle, business, science, health, wellness, beauty, sports, transportation, and travel. Further, the company provides music licensing, and digital asset management and distribution services. It serves media outlets, advertising agencies and corporations, individual creators, and prosumers. The company was formerly known as Getty Images, Inc. Getty Images Holdings, Inc. was founded in 1995 and is headquartered in Seattle, Washington."
"GEX Management, Inc.","GEX Management, Inc. offers management consulting and technology business services to corporations worldwide. The company provides strategy consulting services, such as strategy and business planning, process optimization, project management, change management, performance improvement, and organizational design and development. Further, it offers enterprise technology consulting services, including digital transformation, cloud computing, data analytics, cybersecurity, and digital marketing. It serves businesses, government agencies, and non-profit organizations. The company was founded in 2004 and is based in Dallas, Texas."
Givex Corp.,"Givex Corp. provides omnichannel gift cards, loyalty programs, data analytics, stored value tickets, payment processing, and cloud-based point of sale (POS) solutions in Canada, the United States, Australia, the United Kingdom, and internationally. It offers gift card transaction processing, and card production and fulfillment management; points-based or customized loyalty programs; self-service kiosks to shop, order, and pay for products and services; analytics that compiles data from entire business and organizes it using digestible, accurate, and actional digital dashboards; Uptix Ticketing, a tickets solution to improve the fan experience; and GivexPay, a payment processing solution. The company also provides GivexPOS, an end-to-end solution to streamline everyday processes and provide seamless support that includes POS for QSR to accept payments and process orders faster to reduce long wait times; POS for Restaurant, a restaurant point of sale system; POS for Retail to integrate payment, administration, and CRM tools; and merchandise and concession sales for high-volume arena events. The company was formerly known as Givex Information Technology Group Limited and changed its name to Givex Corp. in November 2022. Givex Corp. was founded in 1999 and is headquartered in Toronto, Canada."
Global Links Corp.,"Global Links Corp., together with its subsidiaries, engages in the design, construction, and sale of factory-built homes in underdeveloped countries worldwide. The company develops affordable housing projects using stackable housing designs; and provides a service whereby members can exchange goods and services for ‘trade dollars’ in place of cash. It also sells hemp and medical marijuana products and services. The company was formerly known as United Trading.Com and changed its name to Global Links Corp. in February 2003. Global Links Corp. was founded in 1952 and is based in Las Vegas, Nevada."
Global Payments Inc.,"Global Payments Inc. provides payment technology and software solutions for card, check, and digital-based payments in the Americas, Europe, and the Asia-Pacific. It operates through two segments, Merchant Solutions and Issuer Solutions. The Merchant Solutions segment offers authorization, settlement and funding, customer support, chargeback resolution, terminal rental, sales and deployment, payment security, and consolidated billing and reporting services. This segment also provides an array of enterprise software solutions that streamline business operations of its customers in various vertical markets; and value-added solutions and services, such as point-of-sale software, analytics and customer engagement, payroll and reporting, and human capital management. The Issuer Solutions segment offers solutions that enable financial institutions and retailers to manage their card portfolios through a platform; and commercial payments, account payables, and electronic payment alternatives solutions for businesses and governments. It markets its products and services through direct sales force, trade associations, agent and enterprise software providers, referral arrangements with value-added resellers, and independent sales organizations. The company was founded in 1967 and is headquartered in Atlanta, Georgia."
"Gold Entertainment Group, Inc.","Gold Entertainment Group, Inc. does not have significant operations. It intends to serve as a vehicle for the acquisition of, or merger or consolidation with another company. The company was incorporated in 1999 and is based in Reno, Nevada."
"Golden Triangle Ventures, Inc.","Golden Triangle Ventures, Inc. offers consulting services in entertainment, healthcare and technology sectors. Golden Triangle Ventures, Inc. was formerly known as Golden Triangle Enterprises, Inc. and changed its name to Golden Triangle Ventures, Inc. in July, 2019. The company is based in Las Vegas, Nevada."
"GPO Plus, Inc.","GPO Plus, Inc. operates as industry specific group purchasing organizations (GPO) in the United States. It provides direct store delivery services. The company also involved in manufacturing products for convenience stores and gas stations; and wholesale of products. GPO Plus, Inc. is headquartered in Las Vegas, Nevada."
Green Dot Corporation,"Green Dot Corporation, a financial technology and registered bank holding company, provides various financial services to consumers and businesses in the United States. It operates through three segments: Consumer Services, Business to Business Services, and Money Movement Services. The company provides deposit account programs, including consumer and small business checking account products, network-branded reloadable prepaid debit cards and gift cards, and secured credit programs. It offers money processing services, such as cash transfer services that enable consumers to deposit or pick up cash and pay bills with cash at the point-of-sale at any participating retailer; and simply paid disbursement services, which enable wages and authorized funds disbursement to its deposit account programs and accounts issued by any third-party bank or program manager. In addition, the company offers tax processing services comprising tax refund transfers, which provide the processing technology to facilitate receipt of a taxpayers' refund proceeds; small business lending to independent tax preparation providers that seek small advances; and fast cash advance, a loan that enables tax refund recipients. Green Dot Corporation was incorporated in 1999 and is headquartered in Austin, Texas."
GSDT Fintech Group Inc.,"GSDT Fintech Group Inc. provides engineering, logistics, information technology, and security services. It offers engineering and installation services in the areas of rapid deployment teams, computer/communications systems, fiber optic and category 5e/6 infrastructure cabling, inside and outside cable plant, automated monitoring systems, documentation, and ATG installation and maintenance; and information technology services in the areas of software engineering, large scale business applications, LAN and WAN network engineering, virtual private networks, system testing and quality assurance inspections, and documentation. The company also provides biometric applications for secure identity management. It serves government, corporate, and individual customers. The company was formerly known as The Evermedia Group, Inc. and changed its name to GSDT Fintech Group Inc. in November 2020. GSDT Fintech Group Inc. was incorporated in 2007 and is based in Boston, Massachusetts."
"Healthcare Integrated Technologies, Inc.","Healthcare Integrated Technologies, Inc., through its subsidiaries, develops healthcare technology solutions to integrate and automate the continuing care, home care, and professional healthcare spaces in the United States. The company’s products portfolio, including SafeSpace, an ambient fall detection solution for continuing care communities and at home use; and SafeGuard, a novel fully ambient elopement detection and alerting system based on facial recognition technology. It also provides healthcare services and health and safety monitoring equipment; and integrated solution for the professional healthcare community that integrates electronic health records, remote patient monitoring, telehealth, and other items. The company was formerly known as Grasshopper Staffing, Inc. and changed its name to Healthcare Integrated Technologies, Inc. in May 2018. Healthcare Integrated Technologies, Inc. was incorporated in 2013 and is based in Knoxville, Tennessee."
"HEALTHeUNIVERSE, Inc.","Healtheuniverse, Inc., a biotechnology development company, engages in the research, development, and commercialization of biopharmaceutical, biomedical, nutraceutical, and cosmeceutical products. The company develops stem cell and regenerative medicine therapies utilizing non-embryonic adult stem cells for use in plastic and reconstructive surgery, orthopedic surgery, vascular surgery, cardiac surgery, and wound care. It also provides consulting services to various businesses in the areas of marketing, business organization, and raising capital for business ventures. The company was founded in 2001 and is headquartered in Covina, California."
Hestia Insight Inc.,"Hestia Insight Inc. provides strategic consulting and capital market advisory services for micro, small, and medium sized companies in the healthcare and biotech sectors. It also develops healthcare related technologies for the treatment of neurological and psychiatric disorders. In addition, the company provides medical supply sales and marketing support, management, and capital markets advisory services. The company was formerly known as Luxshmi Investments, Inc. and changed its name to Hestia Insight Inc. in May 2019. Hestia Insight Inc. was incorporated in 2003 and is based in Las Vegas, Nevada."
Huron Consulting Group Inc.,"Huron Consulting Group Inc., a professional services firm, provides consultancy services in the United States and internationally. It operates through three segments: Healthcare, Education, and Commercial. The Healthcare segment provides financial and operational performance improvement consulting services; digital offerings, spanning technology and analytic-related services; software products; organizational transformation services; revenue cycle managed and outsourcing services; financial and capital advisory consulting services; and strategy and innovation consulting services to national and regional health systems, academic and community health systems, federal health system, public, children’s and critical access hospitals, physician practices and medical groups, payors, and long-term care or post-acute providers. The Education segment provides digital solutions, spanning technology, and analytic-related services; Huron Research product suite, a software suite designed to facilitate and enhance research administration service delivery and compliance; research-focused consulting and managed services; strategy and operations consulting services for public and private colleges and universities, research institutes, and other education-related organizations. The Commercial segment delivers digital services and software products, and financial advisory services to financial, energy and utilities, professional and business services, life science, consumer products, and industrials and manufacturing industries, as well as public sector and nonprofit organizations. The company was incorporated in 2002 and is headquartered in Chicago, Illinois."
"i3 Verticals, Inc.","i3 Verticals, Inc. provides integrated payment and software solutions primarily to the public sector and healthcare markets in the United States. It operates in two segments, Software and Services, and Merchant Services. The company offers payment processing services that enables upper and lower court case management, collections, finance and accounting, motor vehicle and carrier registration, e-filing and taxation, license plate inventory, property tax management, utility billing, professional licensing, document workflow, and law enforcement software; assists public schools in completing payment processing functions, including accepting payments for online or at school lunches, and school activities. It also provides software platforms, such as electronic healthcare records and revenue cycle management solutions; insurance adjudication, patient engagement platforms, billing, scheduling, and integrated payments solutions; and workflow software and associated professional services to medical insurance payers. In addition, the company engages in software licenses and subscriptions, transaction-based fees, ongoing software maintenance and support, and other software-related solutions; and payment processing and gateway fees, as well as other related fixed transaction or service fees. Further, it sells equipment, and offers non-software related professional services. The company offers its solutions to clients through direct sales force; distribution partners comprising independent software vendors, independent sales organizations, and value-added resellers. i3 Verticals, Inc. was founded in 2012 and is headquartered in Nashville, Tennessee."
"ICF International, Inc.","ICF International, Inc. provides management, technology, and policy consulting and implementation services to government and commercial clients in the United States and internationally. The company researches critical policy, industry, stakeholder issues, trends, and behaviors; measures and evaluates results and their impact; and provides strategic planning and advisory services to its clients on how to navigate societal, business, market, business, communication, and technology challenges. It also identifies, defines, and implements policies, plans, programs, and business tools through a range of standard and customized methodologies for its clients’ business context; conducts survey research; collects and analyzes various data to understand critical issues and options for its clients; and provides actionable business intelligence, as well as information and data management solutions that allow integrated and purpose-driven data usage. In addition, the company provides solutions to optimize the customer and citizen experience; modernizes IT systems; and cyber security solutions that support the range of cyber security missions and protect IT infrastructures in the face of relentless threats, as well as designs, develops, and implements technology systems and business tools that are key to its clients’ mission or business performance. Further, it informs and engages its clients’ constituents, customers, and employees through public relations, branding and marketing, multichannel and strategic communications, and reputation issues management. The company serves energy, environment, infrastructure, and disaster recovery; health and social programs; and security and other civilian and commercial markets. The company was formerly known as ICF Consulting Group Holdings, LLC and changed its name to ICF International, Inc. in 2006. ICF International, Inc. was founded in 1969 and is headquartered in Reston, Virginia."
